word,hash,length
homogenizes,eeghimnoosz,11
homogenizing,egghiimnnooz,12
homogenous,eghmnooosu,10
homogeny,eghmnooy,8
homogonies,eghimnooos,10
homogony,ghmnoooy,8
homograft,afghmoort,9
homografts,afghmoorst,10
homograph,aghhmoopr,9
homographic,acghhimoopr,11
homographs,aghhmooprs,10
homoiotherm,ehhimmooort,11
homoiothermic,cehhiimmooort,13
homoiotherms,ehhimmooorst,12
homoiousian,ahiimnooosu,11
homoiousians,ahiimnooossu,12
homolog,ghlmooo,7
homologate,aeghlmooot,10
homologated,adeghlmooot,11
homologates,aeghlmooost,11
homologating,agghilmnooot,12
homologation,aghilmnoooot,12
homologations,aghilmnoooost,13
homological,acghillmooo,11
homologically,acghilllmoooy,13
homologies,eghilmooos,10
homologize,eghilmoooz,10
homologized,deghilmoooz,11
homologizer,eghilmooorz,11
homologizers,eghilmooorsz,12
homologizes,eghilmooosz,11
homologizing,gghiilmnoooz,12
homologous,ghlmoooosu,10
homologs,ghlmooos,8
homologue,eghlmooou,9
homologues,eghlmooosu,10
homology,ghlmoooy,8
homolyses,ehlmoossy,9
homolysis,hilmoossy,9
homolytic,chilmooty,9
homomorphic,chhimmooopr,11
homomorphism,hhimmmoooprs,12
homomorphisms,hhimmmoooprss,13
homonuclear,acehlmnooru,11
homonym,hmmnooy,7
homonymic,chimmnooy,9
homonymies,ehimmnoosy,10
homonymous,hmmnooosuy,10
homonymously,hlmmnooosuyy,12
homonyms,hmmnoosy,8
homonymy,hmmnooyy,8
homoousian,ahimnooosu,10
homoousians,ahimnooossu,11
homophile,ehhilmoop,9
homophobe,behhmooop,9
homophobes,behhmooops,10
homophobia,abhhimooop,10
homophobias,abhhimooops,11
homophobic,bchhimooop,10
homophone,ehhmnooop,9
homophones,ehhmnooops,10
homophonic,chhimnooop,10
homophonies,ehhimnooops,11
homophonous,hhmnoooopsu,11
homophony,hhmnooopy,9
homoplasies,aehilmoopss,11
homoplastic,achilmoopst,11
homoplasy,ahlmoopsy,9
homopolar,ahlmooopr,9
homopolymer,ehlmmooopry,11
homopolymeric,cehilmmooopry,13
homopolymers,ehlmmoooprsy,12
homopteran,aehmnooprt,10
homopterans,aehmnooprst,11
homopterous,ehmoooprstu,11
homos,hmoos,5
homoscedastic,accdehimoosst,13
homoscedasticities,accdeehiiimoossstt,18
homoscedasticity,accdehiimoosstty,16
homosex,ehmoosx,7
homosexes,eehmoossx,9
homosexual,aehlmoosux,10
homosexualities,aeehiilmoosstux,15
homosexuality,aehilmoostuxy,13
homosexually,aehllmoosuxy,12
homosexuals,aehlmoossux,11
homospories,ehimoooprss,11
homosporous,hmooooprssu,11
homospory,hmoooprsy,9
homothallic,achhillmoot,11
homothallism,ahhillmmoost,12
homothallisms,ahhillmmoosst,13
homotransplant,aahlmnnooprstt,14
homotransplantation,aaahilmnnnoooprsttt,19
homotransplantations,aaahilmnnnoooprssttt,20
homotransplants,aahlmnnooprsstt,15
homozygoses,eghmooossyz,11
homozygosis,ghimooossyz,11
homozygosities,eghiimooosstyz,14
homozygosity,ghimooostyyz,12
homozygote,eghmoootyz,10
homozygotes,eghmooostyz,11
homozygous,ghmooosuyz,10
homozygously,ghlmooosuyyz,12
homunculi,chilmnouu,9
homunculus,chlmnosuuu,10
homy,hmoy,4
hon,hno,3
honan,ahnno,5
honans,ahnnos,6
honcho,chhnoo,6
honchoed,cdehhnoo,8
honchoing,cghhinnoo,9
honchos,chhnoos,7
honda,adhno,5
hondas,adhnos,6
hondle,dehlno,6
hondled,ddehlno,7
hondles,dehlnos,7
hondling,dghilnno,8
hone,ehno,4
honed,dehno,5
honer,ehnor,5
honers,ehnors,6
hones,ehnos,5
honest,ehnost,6
honester,eehnorst,8
honestest,eehnosstt,9
honesties,eehinosst,9
honestly,ehlnosty,8
honesty,ehnosty,7
honewort,ehnoortw,8
honeworts,ehnoorstw,9
honey,ehnoy,5
honeybee,beeehnoy,8
honeybees,beeehnosy,9
honeybun,behnnouy,8
honeybunch,bcehhnnouy,10
honeybunches,bceehhnnosuy,12
honeybuns,behnnosuy,9
honeycomb,bcehmnooy,9
honeycombed,bcdeehmnooy,11
honeycombing,bceghimnnooy,12
honeycombs,bcehmnoosy,10
honeycreeper,ceeeehnoprry,12
honeycreepers,ceeeehnoprrsy,13
honeydew,deehnowy,8
honeydews,deehnoswy,9
honeyeater,aeeehnorty,10
honeyeaters,aeeehnorsty,11
honeyed,deehnoy,7
honeyful,efhlnouy,8
honeyguide,deeghinouy,10
honeyguides,deeghinosuy,11
honeying,eghinnoy,8
honeymoon,ehmnnoooy,9
honeymooned,deehmnnoooy,11
honeymooner,eehmnnooory,11
honeymooners,eehmnnooorsy,12
honeymooning,eghimnnnoooy,12
honeymoons,ehmnnooosy,10
honeys,ehnosy,6
honeysuckle,ceehklnosuy,11
honeysuckles,ceehklnossuy,12
hong,ghno,4
hongs,ghnos,5
honied,dehino,6
honing,ghinno,6
honk,hkno,4
honked,dehkno,6
honker,ehknor,6
honkers,ehknors,7
honkey,ehknoy,6
honkeys,ehknosy,7
honkie,ehikno,6
honkies,ehiknos,7
honking,ghiknno,7
honks,hknos,5
honky,hknoy,5
honor,hnoor,5
honorabilities,abehiiilnoorst,14
honorability,abhiilnoorty,12
honorable,abehlnoor,9
honorableness,abeehlnnoorss,13
honorablenesses,abeeehlnnoorsss,15
honorably,abhlnoory,9
honorand,adhnnoor,8
honorands,adhnnoors,9
honoraria,aahinoorr,9
honoraries,aehinoorrs,10
honorarily,ahilnoorry,10
honorarium,ahimnoorru,10
honorariums,ahimnoorrsu,11
honorary,ahnoorry,8
honored,dehnoor,7
honoree,eehnoor,7
honorees,eehnoors,8
honorer,ehnoorr,7
honorers,ehnoorrs,8
honorific,cfhiinoor,9
honorifically,acfhiillnoory,13
honorifics,cfhiinoors,10
honoring,ghinnoor,8
honors,hnoors,6
honour,hnooru,6
honourable,abehlnooru,10
honoured,dehnooru,8
honourer,ehnoorru,8
honourers,ehnoorrsu,9
honouring,ghinnooru,9
honours,hnoorsu,7
hons,hnos,4
hooch,chhoo,5
hooches,cehhoos,7
hood,dhoo,4
hooded,ddehoo,6
hoodedness,ddeehnooss,10
hoodednesses,ddeeehnoosss,12
hoodie,dehioo,6
hoodier,dehioor,7
hoodies,dehioos,7
hoodiest,dehioost,8
hooding,dghinoo,7
hoodless,dehlooss,8
hoodlike,dehikloo,8
hoodlum,dhlmoou,7
hoodlumish,dhhilmoosu,10
hoodlumism,dhilmmoosu,10
hoodlumisms,dhilmmoossu,11
hoodlums,dhlmoosu,8
hoodoo,dhoooo,6
hoodooed,ddehoooo,8
hoodooing,dghinoooo,9
hoodooism,dhimoooos,9
hoodooisms,dhimooooss,10
hoodoos,dhoooos,7
hoods,dhoos,5
hoodwink,dhiknoow,8
hoodwinked,ddehiknoow,10
hoodwinker,dehiknoorw,10
hoodwinkers,dehiknoorsw,11
hoodwinking,dghiiknnoow,11
hoodwinks,dhiknoosw,9
hoody,dhooy,5
hooey,ehooy,5
hooeys,ehoosy,6
hoof,fhoo,4
hoofbeat,abefhoot,8
hoofbeats,abefhoost,9
hoofed,defhoo,6
hoofer,efhoor,6
hoofers,efhoors,7
hoofing,fghinoo,7
hoofless,efhlooss,8
hooflike,efhikloo,8
hoofprint,fhinooprt,9
hoofprints,fhinooprst,10
hoofs,fhoos,5
hook,hkoo,4
hooka,ahkoo,5
hookah,ahhkoo,6
hookahs,ahhkoos,7
hookas,ahkoos,6
hooked,dehkoo,6
hooker,ehkoor,6
hookers,ehkoors,7
hookey,ehkooy,6
hookeys,ehkoosy,7
hookier,ehikoor,7
hookies,ehikoos,7
hookiest,ehikoost,8
hooking,ghiknoo,7
hookless,ehklooss,8
hooklet,ehkloot,7
hooklets,ehkloost,8
hooklike,ehikkloo,8
hooknose,ehknooos,8
hooknoses,ehknoooss,9
hooks,hkoos,5
hookup,hkoopu,6
hookups,hkoopsu,7
hookworm,hkmooorw,8
hookworms,hkmooorsw,9
hooky,hkooy,5
hoolie,ehiloo,6
hooligan,aghilnoo,8
hooliganism,aghiilmnoos,11
hooliganisms,aghiilmnooss,12
hooligans,aghilnoos,9
hooly,hlooy,5
hoop,hoop,4
hooped,dehoop,6
hooper,ehoopr,6
hoopers,ehooprs,7
hooping,ghinoop,7
hoopla,ahloop,6
hooplas,ahloops,7
hoopless,ehloopss,8
hooplike,ehikloop,8
hoopoe,ehooop,6
hoopoes,ehooops,7
hoopoo,hoooop,6
hoopoos,hoooops,7
hoops,hoops,5
hoopskirt,hikooprst,9
hoopskirts,hikooprsst,10
hoopster,ehooprst,8
hoopsters,ehooprsst,9
hoorah,ahhoor,6
hoorahed,adehhoor,8
hoorahing,aghhinoor,9
hoorahs,ahhoors,7
hooray,ahoory,6
hoorayed,adehoory,8
hooraying,aghinoory,9
hoorays,ahoorsy,7
hoosegow,eghooosw,8
hoosegows,eghooossw,9
hoosgow,ghooosw,7
hoosgows,ghooossw,8
hoot,hoot,4
hootch,chhoot,6
hootches,cehhoost,8
hooted,dehoot,6
hootenannies,aeehinnnoost,12
hootenanny,aehnnnooty,10
hooter,ehoort,6
hooters,ehoorst,7
hootier,ehioort,7
hootiest,ehioostt,8
hooting,ghinoot,7
hoots,hoost,5
hooty,hooty,5
hooved,dehoov,6
hooves,ehoosv,6
hop,hop,3
hope,ehop,4
hoped,dehop,5
hopeful,efhlopu,7
hopefully,efhllopuy,9
hopefulness,eefhlnopssu,11
hopefulnesses,eeefhlnopsssu,13
hopefuls,efhlopsu,8
hopeless,eehlopss,8
hopelessly,eehllopssy,10
hopelessness,eeehlnopssss,12
hopelessnesses,eeeehlnopsssss,14
hoper,ehopr,5
hopers,ehoprs,6
hopes,ehops,5
hophead,adehhop,7
hopheads,adehhops,8
hoping,ghinop,6
hoplite,ehilopt,7
hoplites,ehilopst,8
hoplitic,chiilopt,8
hopped,dehopp,6
hopper,ehoppr,6
hoppers,ehopprs,7
hoppier,ehioppr,7
hoppiest,ehioppst,8
hopping,ghinopp,7
hoppings,ghinopps,8
hopple,ehlopp,6
hoppled,dehlopp,7
hopples,ehlopps,7
hoppling,ghilnopp,8
hoppy,hoppy,5
hops,hops,4
hopsack,achkops,7
hopsacking,acghiknops,10
hopsackings,acghiknopss,11
hopsacks,achkopss,8
hopscotch,cchhoopst,9
hopscotched,ccdehhoopst,11
hopscotches,ccehhoopsst,11
hopscotching,ccghhinoopst,12
hoptoad,adhoopt,7
hoptoads,adhoopst,8
hora,ahor,4
horah,ahhor,5
horahs,ahhors,6
horal,ahlor,5
horary,ahorry,6
horas,ahors,5
horde,dehor,5
horded,ddehor,6
hordein,dehinor,7
hordeins,dehinors,8
hordes,dehors,6
hording,dghinor,7
horehound,dehhnooru,9
horehounds,dehhnoorsu,10
horizon,hinoorz,7
horizonal,ahilnoorz,9
horizonless,ehilnoorssz,11
horizons,hinoorsz,8
horizontal,ahilnoortz,10
horizontalities,aehiiilnoorsttz,15
horizontality,ahiilnoorttyz,13
horizontally,ahillnoortyz,12
horizontals,ahilnoorstz,11
hormogonia,aghimnooor,10
hormogonium,ghimmnoooru,11
hormonal,ahlmnoor,8
hormonally,ahllmnoory,10
hormone,ehmnoor,7
hormonelike,eehiklmnoor,11
hormones,ehmnoors,8
hormonic,chimnoor,8
horn,hnor,4
hornbeam,abehmnor,8
hornbeams,abehmnors,9
hornbill,bhillnor,8
hornbills,bhillnors,9
hornblende,bdeehlnnor,10
hornblendes,bdeehlnnors,11
hornblendic,bcdehilnnor,11
hornbook,bhknooor,8
hornbooks,bhknooors,9
horned,dehnor,6
hornedness,deehnnorss,10
hornednesses,deeehnnorsss,12
hornet,ehnort,6
hornets,ehnorst,7
hornfels,efhlnors,8
hornier,ehinorr,7
horniest,ehinorst,8
hornily,hilnory,7
horniness,ehinnorss,9
horninesses,eehinnorsss,11
horning,ghinnor,7
hornist,hinorst,7
hornists,hinorsst,8
hornito,hinoort,7
hornitos,hinoorst,8
hornless,ehlnorss,8
hornlessness,eehlnnorssss,12
hornlessnesses,eeehlnnorsssss,14
hornlike,ehiklnor,8
hornpipe,ehinoppr,8
hornpipes,ehinopprs,9
hornpout,hnooprtu,8
hornpouts,hnooprstu,9
horns,hnors,5
hornstone,ehnnoorst,9
hornstones,ehnnoorsst,10
hornswoggle,egghlnoorsw,11
hornswoggled,degghlnoorsw,12
hornswoggles,egghlnoorssw,12
hornswoggling,ggghilnnoorsw,13
horntail,ahilnort,8
horntails,ahilnorst,9
hornworm,hmnoorrw,8
hornworms,hmnoorrsw,9
hornwort,hnoorrtw,8
hornworts,hnoorrstw,9
horny,hnory,5
horologe,eghlooor,8
horologes,eghlooors,9
horological,acghillooor,11
horologies,eghilooors,10
horologist,ghilooorst,10
horologists,ghilooorsst,11
horology,ghlooory,8
horoscope,cehoooprs,9
horoscopes,cehoooprss,10
horrendous,dehnoorrsu,10
horrendously,dehlnoorrsuy,12
horrent,ehnorrt,7
horrible,behilorr,8
horribleness,beehilnorrss,12
horriblenesses,beeehilnorrsss,14
horribles,behilorrs,9
horribly,bhilorry,8
horrid,dhiorr,6
horridly,dhilorry,8
horridness,dehinorrss,10
horridnesses,deehinorrsss,12
horrific,cfhiiorr,8
horrifically,acfhiillorry,12
horrified,defhiiorr,9
horrifies,efhiiorrs,9
horrify,fhiorry,7
horrifying,fghiinorry,10
horrifyingly,fghiilnorryy,12
horror,hoorrr,6
horrors,hoorrrs,7
horse,ehors,5
horseback,abcehkors,9
horsebacks,abcehkorss,10
horsebean,abeehnors,9
horsebeans,abeehnorss,10
horsecar,acehorrs,8
horsecars,acehorrss,9
horsed,dehors,6
horsefeathers,aeeefhhorrsst,13
horseflesh,eefhhlorss,10
horsefleshes,eeefhhlorsss,12
horseflies,eefhilorss,10
horsefly,efhlorsy,8
horsehair,aehhiorrs,9
horsehairs,aehhiorrss,10
horsehide,deehhiors,9
horsehides,deehhiorss,10
horselaugh,aeghhlorsu,10
horselaughs,aeghhlorssu,11
horseless,eehlorsss,9
horselike,eehiklors,9
horseman,aehmnors,8
horsemanship,aehhimnoprss,12
horsemanships,aehhimnoprsss,13
horsemen,eehmnors,8
horsemint,ehimnorst,9
horsemints,ehimnorsst,10
horseplay,aehloprsy,9
horseplayer,aeehloprrsy,11
horseplayers,aeehloprrssy,12
horseplays,aehloprssy,10
horsepower,eehooprrsw,10
horsepowers,eehooprrssw,11
horsepox,ehooprsx,8
horsepoxes,eehooprssx,10
horseradish,adehhiorrss,11
horseradishes,adeehhiorrsss,13
horses,ehorss,6
horseshit,ehhiorsst,9
horseshits,ehhiorssst,10
horseshod,dehhoorss,9
horseshoe,eehhoorss,9
horseshoed,deehhoorss,10
horseshoeing,eeghhinoorss,12
horseshoer,eehhoorrss,10
horseshoers,eehhoorrsss,11
horseshoes,eehhoorsss,10
horsetail,aehilorst,9
horsetails,aehilorsst,10
horseweed,deeehorsw,9
horseweeds,deeehorssw,10
horsewhip,ehhioprsw,9
horsewhipped,deehhiopprsw,12
horsewhipper,eehhiopprrsw,12
horsewhippers,eehhiopprrssw,13
horsewhipping,eghhiinopprsw,13
horsewhips,ehhioprssw,10
horsewoman,aehmnoorsw,10
horsewomen,eehmnoorsw,10
horsey,ehorsy,6
horsier,ehiorrs,7
horsiest,ehiorsst,8
horsily,hilorsy,7
horsiness,ehinorsss,9
horsinesses,eehinorssss,11
horsing,ghinors,7
horst,horst,5
horste,ehorst,6
horstes,ehorsst,7
horsts,horsst,6
horsy,horsy,5
hortative,aehiorttv,9
hortatively,aehilorttvy,11
hortatory,ahoorrtty,9
horticultural,achillorrttuu,13
horticulturally,achilllorrttuuy,15
horticulture,cehilorrttuu,12
horticultures,cehilorrsttuu,13
horticulturist,chiilorrstttuu,14
horticulturists,chiilorrsstttuu,15
hosanna,aahnnos,7
hosannaed,aadehnnos,9
hosannah,aahhnnos,8
hosannahs,aahhnnoss,9
hosannaing,aaghinnnos,10
hosannas,aahnnoss,8
hose,ehos,4
hosed,dehos,5
hosel,ehlos,5
hosels,ehloss,6
hosen,ehnos,5
hosepipe,eehiopps,8
hosepipes,eehioppss,9
hoses,ehoss,5
hosier,ehiors,6
hosieries,eehiiorss,9
hosiers,ehiorss,7
hosiery,ehiorsy,7
hosing,ghinos,6
hospice,cehiops,7
hospices,cehiopss,8
hospitable,abehilopst,10
hospitably,abhilopsty,10
hospital,ahilopst,8
hospitalise,aehiilopsst,11
hospitalised,adehiilopsst,12
hospitalises,aehiilopssst,12
hospitalising,aghiiilnopsst,13
hospitalities,aehiiilopsstt,13
hospitality,ahiilopstty,11
hospitalization,aahiiilnoopsttz,15
hospitalizations,aahiiilnoopssttz,16
hospitalize,aehiilopstz,11
hospitalized,adehiilopstz,12
hospitalizes,aehiilopsstz,12
hospitalizing,aghiiilnopstz,13
hospitals,ahilopsst,9
hospitia,ahiiopst,8
hospitium,hiimopstu,9
hospodar,adhooprs,8
hospodars,adhooprss,9
host,host,4
hosta,ahost,5
hostage,aeghost,7
hostages,aeghosst,8
hostas,ahosst,6
hosted,dehost,6
hostel,ehlost,6
hosteled,deehlost,8
hosteler,eehlorst,8
hostelers,eehlorsst,9
hosteling,eghilnost,9
hostelled,deehllost,9
hosteller,eehllorst,9
hostellers,eehllorsst,10
hostelling,eghillnost,10
hostelries,eehilorsst,10
hostelry,ehlorsty,8
hostels,ehlosst,7
hostess,ehossst,7
hostessed,deehossst,9
hostesses,eehosssst,9
hostessing,eghinossst,10
hostile,ehilost,7
hostilely,ehillosty,9
hostiles,ehilosst,8
hostilities,ehiiilosstt,11
hostility,hiilostty,9
hosting,ghinost,7
hostler,ehlorst,7
hostlers,ehlorsst,8
hostly,hlosty,6
hosts,hosst,5
hot,hot,3
hotbed,bdehot,6
hotbeds,bdehost,7
hotblood,bdhlooot,8
hotbloods,bdhlooost,9
hotbox,bhootx,6
hotboxes,behoostx,8
hotcake,acehkot,7
hotcakes,acehkost,8
hotch,chhot,5
hotched,cdehhot,7
hotches,cehhost,7
hotching,cghhinot,8
hotchpot,chhooptt,8
hotchpotch,cchhhooptt,10
hotchpotches,ccehhhoopstt,12
hotchpots,chhoopstt,9
hotdog,dghoot,6
hotdogged,ddegghoot,9
hotdogger,degghoort,9
hotdoggers,degghoorst,10
hotdogging,dggghinoot,10
hotdogs,dghoost,7
hotel,ehlot,5
hoteldom,dehlmoot,8
hoteldoms,dehlmoost,9
hotelier,eehilort,8
hoteliers,eehilorst,9
hotelman,aehlmnot,8
hotelmen,eehlmnot,8
hotels,ehlost,6
hotfoot,fhooott,7
hotfooted,defhooott,9
hotfooting,fghinooott,10
hotfoots,fhooostt,8
hothead,adehhot,7
hotheaded,addeehhot,9
hotheadedly,addeehhloty,11
hotheadedness,addeeehhnosst,13
hotheadednesses,addeeeehhnossst,15
hotheads,adehhost,8
hothouse,ehhoostu,8
hothouses,ehhoosstu,9
hotline,ehilnot,7
hotlines,ehilnost,8
hotly,hloty,5
hotness,ehnosst,7
hotnesses,eehnossst,9
hotpress,ehoprsst,8
hotpressed,deehoprsst,10
hotpresses,eehoprssst,10
hotpressing,eghinoprsst,11
hotrod,dhoort,6
hotrods,dhoorst,7
hots,host,4
hotshot,hhoostt,7
hotshots,hhoosstt,8
hotspur,hoprstu,7
hotspurs,hoprsstu,8
hotted,dehott,6
hotter,ehortt,6
hottest,ehosttt,7
hotting,ghinott,7
hottish,hhiostt,7
houdah,adhhou,6
houdahs,adhhosu,7
hound,dhnou,5
hounded,ddehnou,7
hounder,dehnoru,7
hounders,dehnorsu,8
hounding,dghinnou,8
hounds,dhnosu,6
hour,horu,4
hourglass,aghlorssu,9
hourglasses,aeghlorsssu,11
houri,hioru,5
houris,hiorsu,6
hourly,hloruy,6
hours,horsu,5
house,ehosu,5
houseboat,abehoostu,9
houseboater,abeehoorstu,11
houseboaters,abeehoorsstu,12
houseboats,abehoosstu,10
housebound,bdehnoosuu,10
houseboy,behoosuy,8
houseboys,behoossuy,9
housebreak,abeehkorsu,10
housebreaker,abeeehkorrsu,12
housebreakers,abeeehkorrssu,13
housebreaking,abeeghiknorsu,13
housebreakings,abeeghiknorssu,14
housebreaks,abeehkorssu,11
housebroke,beehkoorsu,10
housebroken,beehknoorsu,11
housecarl,acehlorsu,9
housecarls,acehlorssu,10
houseclean,aceehlnosu,10
housecleaned,acdeeehlnosu,12
housecleaning,aceeghilnnosu,13
housecleanings,aceeghilnnossu,14
housecleans,aceehlnossu,11
housecoat,acehoostu,9
housecoats,acehoosstu,10
housed,dehosu,6
housedress,deehorsssu,10
housedresses,deeehorssssu,12
housefather,aeefhhorstu,11
housefathers,aeefhhorsstu,12
houseflies,eefhilossu,10
housefly,efhlosuy,8
housefront,efhnoorstu,10
housefronts,efhnoorsstu,11
houseful,efhlosuu,8
housefuls,efhlossuu,9
houseguest,eeghosstuu,10
houseguests,eeghossstuu,11
household,dehhloosu,9
householder,deehhloorsu,11
householders,deehhloorssu,12
households,dehhloossu,10
househusband,abdehhnossuu,12
househusbands,abdehhnosssuu,13
housekeep,eeehkopsu,9
housekeeper,eeeehkoprsu,11
housekeepers,eeeehkoprssu,12
housekeeping,eeeghiknopsu,12
housekeepings,eeeghiknopssu,13
housekeeps,eeehkopssu,10
housekept,eehkopstu,9
housel,ehlosu,6
houseled,deehlosu,8
houseleek,eeehklosu,9
houseleeks,eeehklossu,10
houseless,eehlosssu,9
houselessness,eeehlnosssssu,13
houselessnesses,eeeehlnossssssu,15
houselights,eghhilosstu,11
houseling,eghilnosu,9
houselled,deehllosu,9
houselling,eghillnosu,10
housels,ehlossu,7
housemaid,adehimosu,9
housemaids,adehimossu,10
houseman,aehmnosu,8
housemaster,aeehmorsstu,11
housemasters,aeehmorssstu,12
housemate,aeehmostu,9
housemates,aeehmosstu,10
housemen,eehmnosu,8
housemother,eehhmoorstu,11
housemothers,eehhmoorsstu,12
housepainter,aeehinoprstu,12
housepainters,aeehinoprsstu,13
houseparent,aeehnoprstu,11
houseparents,aeehnoprsstu,12
houseperson,eehnooprssu,11
housepersons,eehnooprsssu,12
houseplant,aehlnopstu,10
houseplants,aehlnopsstu,11
houser,ehorsu,6
houseroom,ehmooorsu,9
houserooms,ehmooorssu,10
housers,ehorssu,7
houses,ehossu,6
housesat,aehosstu,8
housesit,ehiosstu,8
housesits,ehiossstu,9
housesitting,eghiinossttu,12
housetop,ehoopstu,8
housetops,ehoopsstu,9
housewares,aeehorssuw,10
housewarming,aeghimnorsuw,12
housewarmings,aeghimnorssuw,13
housewife,eefhiosuw,9
housewifeliness,eeefhiilnosssuw,15
housewifelinesses,eeeefhiilnossssuw,17
housewifely,eefhilosuwy,11
housewiferies,eeefhiiorssuw,13
housewifery,eefhiorsuwy,11
housewifey,eefhiosuwy,10
housewives,eehiossuvw,10
housework,ehkoorsuw,9
houseworks,ehkoorssuw,10
housing,ghinosu,7
housings,ghinossu,8
hove,ehov,4
hovel,ehlov,5
hoveled,deehlov,7
hoveling,eghilnov,8
hovelled,deehllov,8
hovelling,eghillnov,9
hovels,ehlosv,6
hover,ehorv,5
hovercraft,acefhorrtv,10
hovercrafts,acefhorrstv,11
hovered,deehorv,7
hoverer,eehorrv,7
hoverers,eehorrsv,8
hovering,eghinorv,8
hovers,ehorsv,6
how,how,3
howbeit,behiotw,7
howdah,adhhow,6
howdahs,adhhosw,7
howdie,dehiow,6
howdied,ddehiow,7
howdies,dehiosw,7
howdy,dhowy,5
howdying,dghinowy,8
howe,ehow,4
howes,ehosw,5
however,eehorvw,7
howf,fhow,4
howff,ffhow,5
howffs,ffhosw,6
howfs,fhosw,5
howitzer,ehiortwz,8
howitzers,ehiorstwz,9
howk,hkow,4
howked,dehkow,6
howking,ghiknow,7
howks,hkosw,5
howl,hlow,4
howled,dehlow,6
howler,ehlorw,6
howlers,ehlorsw,7
howlet,ehlotw,6
howlets,ehlostw,7
howling,ghilnow,7
howlingly,ghillnowy,9
howls,hlosw,5
hows,hosw,4
howsoever,eehoorsvw,9
hoy,hoy,3
hoya,ahoy,4
hoyas,ahosy,5
hoyden,dehnoy,6
hoydened,ddeehnoy,8
hoydening,deghinnoy,9
hoydenish,dehhinosy,9
hoydens,dehnosy,7
hoyle,ehloy,5
hoyles,ehlosy,6
hoys,hosy,4
huarache,aacehhru,8
huaraches,aacehhrsu,9
huaracho,aachhoru,8
huarachos,aachhorsu,9
hub,bhu,3
hubbies,bbehisu,7
hubbly,bbhluy,6
hubbub,bbbhuu,6
hubbubs,bbbhsuu,7
hubby,bbhuy,5
hubcap,abchpu,6
hubcaps,abchpsu,7
hubris,bhirsu,6
hubrises,behirssu,8
hubristic,bchiirstu,9
hubs,bhsu,4
huck,chku,4
huckaback,aabcchkku,9
huckabacks,aabcchkksu,10
huckle,cehklu,6
huckleberries,bceeehiklrrsu,13
huckleberry,bceehklrruy,11
huckles,cehklsu,7
hucks,chksu,5
huckster,cehkrstu,8
huckstered,cdeehkrstu,10
huckstering,ceghiknrstu,11
hucksterism,cehikmrsstu,11
hucksterisms,cehikmrssstu,12
hucksters,cehkrsstu,9
huddle,ddehlu,6
huddled,dddehlu,7
huddler,ddehlru,7
huddlers,ddehlrsu,8
huddles,ddehlsu,7
huddling,ddghilnu,8
hue,ehu,3
hued,dehu,4
hueless,eehlssu,7
hues,ehsu,4
huff,ffhu,4
huffed,deffhu,6
huffier,effhiru,7
huffiest,effhistu,8
huffily,ffhiluy,7
huffiness,effhinssu,9
huffinesses,eeffhinsssu,11
huffing,ffghinu,7
huffish,ffhhisu,7
huffs,ffhsu,5
huffy,ffhuy,5
hug,ghu,3
huge,eghu,4
hugely,eghluy,6
hugeness,eeghnssu,8
hugenesses,eeeghnsssu,10
hugeous,eghosuu,7
hugeously,eghlosuuy,9
huger,eghru,5
hugest,eghstu,6
huggable,abegghlu,8
hugged,degghu,6
hugger,egghru,6
huggers,egghrsu,7
hugging,ggghinu,7
hugs,ghsu,4
huh,hhu,3
huic,chiu,4
huipil,hiilpu,6
huipiles,ehiilpsu,8
huipils,hiilpsu,7
huisache,acehhisu,8
huisaches,acehhissu,9
hula,ahlu,4
hulas,ahlsu,5
hulk,hklu,4
hulked,dehklu,6
hulkier,ehiklru,7
hulkiest,ehiklstu,8
hulking,ghiklnu,7
hulks,hklsu,5
hulky,hkluy,5
hull,hllu,4
hullabaloo,aabhllloou,10
hullabaloos,aabhllloosu,11
hulled,dehllu,6
huller,ehllru,6
hullers,ehllrsu,7
hulling,ghillnu,7
hullo,hllou,5
hulloa,ahllou,6
hulloaed,adehllou,8
hulloaing,aghillnou,9
hulloas,ahllosu,7
hulloed,dehllou,7
hulloes,ehllosu,7
hulloing,ghillnou,8
hullos,hllosu,6
hulls,hllsu,5
hum,hmu,3
human,ahmnu,5
humane,aehmnu,6
humanely,aehlmnuy,8
humaneness,aeehmnnssu,10
humanenesses,aeeehmnnsssu,12
humaner,aehmnru,7
humanest,aehmnstu,8
humanise,aehimnsu,8
humanised,adehimnsu,9
humanises,aehimnssu,9
humanising,aghiimnnsu,10
humanism,ahimmnsu,8
humanisms,ahimmnssu,9
humanist,ahimnstu,8
humanistic,achiimnstu,10
humanistically,aachiillmnstuy,14
humanists,ahimnsstu,9
humanitarian,aaahiimnnrtu,12
humanitarianism,aaahiiimmnnrstu,15
humanitarianisms,aaahiiimmnnrsstu,16
humanitarians,aaahiimnnrstu,13
humanities,aehiimnstu,10
humanity,ahimntuy,8
humanization,aahiimnnotuz,12
humanizations,aahiimnnostuz,13
humanize,aehimnuz,8
humanized,adehimnuz,9
humanizer,aehimnruz,9
humanizers,aehimnrsuz,10
humanizes,aehimnsuz,9
humanizing,aghiimnnuz,10
humankind,adhikmnnu,9
humanlike,aehiklmnu,9
humanly,ahlmnuy,7
humanness,aehmnnssu,9
humannesses,aeehmnnsssu,11
